"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
285,7,7,30,2,1,3,0.56,"Entire home/apt","Pacific Heights+","flexible"
100,10,10,1,1,1,1,0.14,"Private room","Pacific Heights+","strict"
120,10,10,1,1,1.5,1,5.69,"Private room","South of Market","moderate"
250,10,10,3,1,1.5,2,0.67,"Entire home/apt","South of Market","flexible"
150,10,10,29,1,1,2,0.31,"Entire home/apt","Noe Valley+","strict"
125,10,10,1,1,1,1,3,"Private room","Potrero Hill","flexible"
190,10,10,3,1,1,1,2.75,"Entire home/apt","Potrero Hill","strict"
250,10,10,3,3,1,4,4.54,"Entire home/apt","Potrero Hill","strict"
90,9,10,1,1,1,1,0.3,"Private room","Castro/Upper Market","flexible"
149,9,9,1,2,1,1,0.86,"Entire home/apt","Castro/Upper Market","moderate"
125,10,10,4,1,1,1,1.66,"Private room","Castro/Upper Market","strict"
74,10,10,1,1,1,1,2,"Private room","South of Market","moderate"
115,9,10,1,1,1,2,2.93,"Entire home/apt","South of Market","flexible"
200,9,9,1,1,1,1,3,"Private room","South of Market","flexible"
74,10,10,1,1,1.5,1,0.39,"Private room","South of Market","flexible"
325,9,10,1,1,1,1,0.32,"Entire home/apt","South of Market","flexible"
195,9,9,2,1,2,1,0.07,"Private room","South of Market","strict"
100,10,10,1,1,1,1,0.05,"Private room","South of Market","flexible"
529,10,10,3,3,1,1,2.28,"Entire home/apt","South of Market","flexible"
100,10,10,7,1,1,1,0.46,"Entire home/apt","South of Market","strict"
95,9,10,1,1,1,1,6.22,"Private room","South of Market","moderate"
275,10,10,1,2,2,1,2,"Entire home/apt","South of Market","flexible"
220,10,9,2,2,1.5,4,0.27,"Entire home/apt","South of Market","moderate"
120,6,10,5,1,1,1,1.64,"Private room","South of Market","moderate"
120,10,10,1,1,1,1,0.34,"Private room","South of Market","moderate"
100,9,10,3,2,2,1,0.07,"Entire home/apt","South of Market","flexible"
91,10,10,4,1,1,1,1.78,"Private room","South of Market","moderate"
300,10,10,7,2,1,1,0.76,"Entire home/apt","Castro/Upper Market","flexible"
290,9,9,2,3,1,1,0.22,"Entire home/apt","Castro/Upper Market","flexible"
500,10,10,2,2,1,1,0.52,"Entire home/apt","Castro/Upper Market","flexible"
500,10,10,4,4,2,4,1.42,"Entire home/apt","Castro/Upper Market","flexible"
120,10,10,2,1,1,1,5.33,"Private room","Castro/Upper Market","moderate"
275,10,10,1,3,1,3,1.08,"Entire home/apt","Castro/Upper Market","strict"
105,10,10,7,1,1,1,0.35,"Private room","Castro/Upper Market","strict"
90,9,10,1,1,1,1,0.3,"Entire home/apt","Outer Sunset+","flexible"
250,9,10,2,3,1,4,2.76,"Entire home/apt","Outer Sunset+","strict"
105,10,10,2,1,1,1,0.32,"Private room","Outer Sunset+","moderate"
450,9,9,3,2,2,1,0.15,"Entire home/apt","Mission+","flexible"
200,10,10,2,1,1.5,1,1.26,"Entire home/apt","Mission+","moderate"
125,8,10,1,1,1,1,3,"Entire home/apt","Mission+","moderate"
199,10,10,1,1,1,4,4.65,"Entire home/apt","Mission+","strict"
250,10,10,2,2,1,1,1.09,"Entire home/apt","Mission+","strict"
80,8,10,3,1,1,1,0.11,"Private room","Mission+","flexible"
139,9,10,2,1,1,1,3.16,"Private room","Mission+","strict"
130,10,10,3,2,1,2,1.29,"Entire home/apt","Outer Sunset+","strict"
195,9,10,5,2,1,4,2.24,"Entire home/apt","Outer Sunset+","moderate"
100,9,9,2,1,1.5,1,0.51,"Private room","Outer Sunset+","moderate"
329,9,10,1,1,1,1,0.08,"Private room","Inner Richmond","flexible"
225,9,10,1,4,1,6,7.25,"Entire home/apt","Inner Richmond","moderate"
250,10,10,2,3,1,4,2.77,"Entire home/apt","Mission+","moderate"
490,10,10,2,3,2,4,1.2,"Entire home/apt","Mission+","strict"
95,9,10,3,1,1,1,0.45,"Private room","Mission+","strict"
74,10,10,2,1,1,1,0.09,"Private room","Mission+","flexible"
148,9,10,5,1,1,1,0.09,"Entire home/apt","Mission+","flexible"
65,10,9,1,1,1,1,0.14,"Private room","Mission+","flexible"
75,9,10,1,1,2,1,0.64,"Private room","Mission+","flexible"
225,10,10,3,4,1,4,0.48,"Entire home/apt","Mission+","moderate"
100,9,10,2,1,1,2,1.48,"Private room","Nob Hill","moderate"
77,10,10,1,1,1,1,0.06,"Private room","Nob Hill","flexible"
400,9,10,1,1,1,1,0.2,"Entire home/apt","Outer Sunset+","moderate"
140,10,10,2,1,1,1,3.69,"Entire home/apt","Outer Sunset+","strict"
335,9,10,5,3,1,1,1.78,"Entire home/apt","Western Addition","moderate"
150,10,10,4,1,1,1,0.81,"Entire home/apt","Western Addition","moderate"
310,10,10,5,2,1,3,0.42,"Entire home/apt","Western Addition","strict"
150,9,8,3,1,1,3,1.47,"Entire home/apt","Western Addition","strict"
950,10,10,3,4,1.5,1,0.07,"Entire home/apt","Western Addition","flexible"
250,10,10,2,1,1,2,0.05,"Entire home/apt","Western Addition","flexible"
170,10,10,1,1,1.5,1,0.17,"Private room","Western Addition","strict"
95,10,10,7,1,1,1,0.92,"Private room","Western Addition","flexible"
115,10,10,2,1,1.5,1,0.34,"Private room","Western Addition","flexible"
197,10,10,1,2,2,1,0.12,"Entire home/apt","Western Addition","flexible"
700,9,10,3,2,1,1,1,"Entire home/apt","Western Addition","flexible"
175,9,9,30,2,1,3,1.52,"Entire home/apt","Western Addition","strict"
265,9,10,3,2,1,4,2.91,"Entire home/apt","Western Addition","strict"
100,10,10,21,1,1,1,1.3,"Private room","Western Addition","flexible"
70,10,10,3,2,1,1,0.33,"Private room","Western Addition","flexible"
400,10,10,4,2,1.5,1,0.06,"Entire home/apt","Western Addition","strict"
275,10,10,3,4,2,1,0.13,"Entire home/apt","Western Addition","flexible"
159,10,10,3,1,1,1,2.3,"Entire home/apt","Western Addition","strict"
139,10,10,1,1,1,1,0.08,"Entire home/apt","Western Addition","moderate"
225,10,10,2,1,1,2,3.94,"Entire home/apt","Western Addition","moderate"
179,10,10,2,1,1,1,2.06,"Entire home/apt","Western Addition","flexible"
133,9,9,3,1,1,1,3.97,"Entire home/apt","Western Addition","moderate"
250,10,10,2,2,1,1,0.78,"Entire home/apt","Western Addition","moderate"
395,9,10,1,1,1,1,0.93,"Private room","Western Addition","flexible"
190,9,10,2,2,1,1,0.05,"Entire home/apt","Mission+","strict"
115,10,10,2,1,1,1,3.43,"Private room","Mission+","flexible"
199,10,9,1,2,1,2,0.3,"Private room","Mission+","moderate"
320,10,10,2,2,1,1,0.87,"Entire home/apt","Mission+","moderate"
107,10,10,3,1,1,1,0.32,"Entire home/apt","Mission+","flexible"
219,9,10,14,4,2.5,6,4.39,"Entire home/apt","Mission+","strict"
100,10,10,1,1,1.5,1,3,"Private room","Mission+","flexible"
110,10,10,1,1,1,2,0.06,"Private room","Mission+","flexible"
115,10,10,2,1,1,1,2.74,"Private room","Mission+","moderate"
150,10,10,1,1,1,1,0.05,"Entire home/apt","Mission+","flexible"
90,8,10,2,1,1.5,1,0.28,"Private room","Mission+","flexible"
71,9,10,1,1,1,1,0.23,"Private room","Western Addition","flexible"
150,10,10,1,1,1,1,1.61,"Shared room","Western Addition","flexible"
150,10,10,2,1,1,1,4.92,"Private room","Western Addition","strict"
110,10,10,2,1,1,1,1.09,"Private room","Western Addition","moderate"
155,10,10,1,1,1,1,4.8,"Private room","Western Addition","flexible"
350,8,9,3,7,2,4,0.32,"Entire home/apt","Western Addition","strict"
300,9,10,3,2,2,1,1.66,"Entire home/apt","Western Addition","moderate"
220,8,10,4,2,1,2,0.15,"Entire home/apt","Western Addition","strict"
150,7,7,2,1,1,1,1,"Private room","Western Addition","flexible"
175,10,10,1,1,1,1,1.74,"Private room","Western Addition","flexible"
500,8,10,4,1,1,1,0.1,"Entire home/apt","Western Addition","moderate"
109,10,10,2,2,2,1,2.58,"Private room","Western Addition","moderate"
320,10,10,2,3,2,1,0.09,"Entire home/apt","Haight Ashbury","moderate"
380,7,9,2,2,1,1,0.33,"Entire home/apt","Haight Ashbury","strict"
100,9,10,1,1,1,1,0.47,"Private room","Haight Ashbury","flexible"
129,10,10,2,1,1,2,3.7,"Entire home/apt","Haight Ashbury","moderate"
213,8,9,2,3,1,1,3.3,"Entire home/apt","Haight Ashbury","moderate"
140,10,10,2,1,1,1,2.48,"Private room","Haight Ashbury","moderate"
145,9,10,1,1,1,2,1.04,"Private room","Haight Ashbury","moderate"
195,10,10,1,1,1,2,1.9,"Entire home/apt","Haight Ashbury","flexible"
65,10,10,6,1,1,1,1.32,"Private room","South SF","strict"
209,9,10,1,2,1,1,0.45,"Private room","Downtown/Civic Center","strict"
149,9,10,2,1,1,1,4.11,"Entire home/apt","Downtown/Civic Center","strict"
149,10,10,1,1,1,1,4,"Entire home/apt","Downtown/Civic Center","flexible"
199,10,9,2,1,1,1,0.2,"Entire home/apt","Downtown/Civic Center","flexible"
180,10,10,2,2,1,1,0.31,"Entire home/apt","Downtown/Civic Center","strict"
180,9,10,2,2,1,1,0.62,"Entire home/apt","Downtown/Civic Center","strict"
99,9,9,2,1,1,1,0.71,"Private room","Nob Hill","flexible"
100,10,10,1,1,1,1,0.08,"Shared room","Nob Hill","flexible"
199,9,9,7,2,1,1,0.39,"Private room","Nob Hill","flexible"
219,7,9,2,2,1,2,0.1,"Entire home/apt","Nob Hill","strict"
389,8,10,1,3,2,3,1.4,"Entire home/apt","Nob Hill","strict"
295,10,10,3,2,1,1,0.23,"Entire home/apt","Outer Sunset+","strict"
125,10,10,100,1,1,1,0.19,"Entire home/apt","Outer Sunset+","moderate"
950,10,10,1,4,1,1,0.07,"Entire home/apt","Outer Sunset+","moderate"
75,8,9,1,1,1,1,0.07,"Private room","Western Addition","flexible"
90,10,10,1,1,1,1,1.66,"Private room","Western Addition","strict"
130,10,10,2,1,1.5,1,1.38,"Private room","Western Addition","strict"
215,10,10,2,1,1,2,1.68,"Entire home/apt","Western Addition","moderate"
86,9,10,5,1,2.5,1,2.9,"Private room","Western Addition","strict"
252,9,9,2,3,1,1,3.2,"Entire home/apt","Western Addition","strict"
192,9,10,3,1,1,2,0.19,"Entire home/apt","Russian Hill","moderate"
800,10,10,1,2,1,1,0.07,"Entire home/apt","Russian Hill","flexible"
165,10,10,30,3,1.5,1,2.33,"Entire home/apt","Noe Valley+","strict"
165,10,10,2,1,1,2,3.26,"Entire home/apt","Noe Valley+","strict"
