"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
128,9,10,1,1,1,1,1.31,"Entire home/apt","Capitol Hill, Lincoln Park","flexible"
280,9,10,3,3,2,1,3,"Entire home/apt","Capitol Hill, Lincoln Park","strict"
90,9,10,2,2,1,1,0.27,"Entire home/apt","Capitol Hill, Lincoln Park","flexible"
95,9,9,2,1,1,2,2.34,"Entire home/apt","Capitol Hill, Lincoln Park","strict"
185,10,10,1,1,1,1,1.16,"Entire home/apt","Capitol Hill, Lincoln Park","flexible"
119,10,10,1,1,1,1,3.45,"Entire home/apt","Capitol Hill, Lincoln Park","moderate"
97,10,10,7,1,1,1,0.66,"Entire home/apt","Capitol Hill, Lincoln Park","strict"
105,9,9,2,2,1,1,3.42,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
100,10,10,1,1,1,1,0.16,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
105,10,10,2,2,1,1,1.1,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
61,10,10,3,1,1,1,1.36,"Private room","Edgewood, Bloomingdale, Truxton Circle, Eckington","moderate"
55,10,10,2,1,1,1,0.55,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","moderate"
54,10,10,1,1,1,1,0.76,"Private room","Edgewood, Bloomingdale, Truxton Circle, Eckington","strict"
115,10,10,2,2,1,1,7.17,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","moderate"
100,10,10,1,1,1,2,2.05,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","strict"
76,10,10,3,1,1,1,1.07,"Private room","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
30,10,9,1,1,1,1,2.73,"Shared room","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
79,10,10,5,2,1,1,6.09,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
70,9,10,1,1,1,1,0.1,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
750,10,9,2,3,2,1,0.2,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
36,8,10,3,1,1,1,0.29,"Private room","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
95,10,10,1,1,1,1,3.71,"Entire home/apt","C","moderate"
425,9,9,3,4,1.5,1,1.42,"Entire home/apt","C","strict"
80,8,10,1,2,1.5,1,0.06,"Entire home/apt","Cathedral Heights, McLean Gardens, Glover Park","flexible"
47,8,9,1,1,1.5,1,2.71,"Private room","Cathedral Heights, McLean Gardens, Glover Park","moderate"
85,10,10,3,1,1,1,0.28,"Private room","Cathedral Heights, McLean Gardens, Glover Park","moderate"
700,10,10,1,1,1,1,0.08,"Private room","Capitol Hill, Lincoln Park","flexible"
65,10,10,1,1,1,1,0.28,"Private room","Capitol Hill, Lincoln Park","flexible"
375,10,10,2,1,1,1,0.81,"Private room","Capitol Hill, Lincoln Park","flexible"
60,10,10,1,1,1,2,0.46,"Entire home/apt","D","flexible"
150,8,10,2,1,1,1,1.71,"Private room","Union Station, Stanton Park, Kingman Park","flexible"
80,8,10,3,1,1,2,0.05,"Entire home/apt","Union Station, Stanton Park, Kingman Park","moderate"
129,10,10,2,1,1,2,0.46,"Entire home/apt","A","strict"
62,9,9,1,1,1,1,2.82,"Private room","Ivy City, Arboretum, Trinidad, Carver Langston","flexible"
49,10,10,1,1,1,2,3,"Private room","Ivy City, Arboretum, Trinidad, Carver Langston","moderate"
96,9,10,1,1,1,1,0.19,"Entire home/apt","Georgetown, Burleith/Hillandale","strict"
85,10,10,2,1,1,1,1.82,"Entire home/apt","Georgetown, Burleith/Hillandale","moderate"
120,9,10,2,2,1,1,0.13,"Entire home/apt","Georgetown, Burleith/Hillandale","moderate"
180,9,10,1,1,1,1,0.8,"Entire home/apt","D","flexible"
750,10,10,3,1,1,2,0.46,"Entire home/apt","B","strict"
700,9,10,2,2,2,1,0.2,"Entire home/apt","B","flexible"
99,8,8,1,1,1,1,0.1,"Entire home/apt","B","flexible"
200,9,10,1,2,1,2,0.99,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","strict"
450,9,10,1,1,1,1,0.9,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","flexible"
309,9,9,3,2,2,1,0.23,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","super_strict_30"
80,10,9,3,1,1,1,0.39,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","moderate"
65,9,9,7,1,1,1,0.27,"Private room","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","flexible"
350,10,10,3,2,2,1,2.19,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","moderate"
500,10,10,2,1,1,1,0.27,"Entire home/apt","Shaw, Logan Circle","strict"
75,9,10,29,2,1,1,1.26,"Entire home/apt","Shaw, Logan Circle","moderate"
175,10,10,5,2,1,2,0.27,"Entire home/apt","Shaw, Logan Circle","strict"
169,10,10,3,1,1,1,0.73,"Entire home/apt","Shaw, Logan Circle","strict"
199,10,10,3,2,1,2,3.47,"Entire home/apt","Shaw, Logan Circle","strict"
516,6,10,3,2,1,1,0.27,"Entire home/apt","Shaw, Logan Circle","strict"
600,10,10,2,2,2,4,0.11,"Entire home/apt","Shaw, Logan Circle","moderate"
109,9,10,2,1,1,1,0.22,"Entire home/apt","Shaw, Logan Circle","moderate"
75,9,10,2,1,1,1,0.13,"Private room","Shaw, Logan Circle","flexible"
499,10,9,2,1,1,1,0.18,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","moderate"
150,9,10,1,1,1,2,0.36,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","moderate"
90,10,10,2,1,1,1,1.4,"Private room","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","moderate"
99,9,10,30,2,1,2,1.41,"Entire home/apt","West End, Foggy Bottom, GWU","moderate"
110,10,10,3,1,1,1,4.17,"Entire home/apt","West End, Foggy Bottom, GWU","strict"
91,10,10,1,1,1,2,0.52,"Entire home/apt","West End, Foggy Bottom, GWU","strict"
108,10,10,1,1,1,1,8.06,"Entire home/apt","West End, Foggy Bottom, GWU","strict"
329,9,10,3,2,2,1,0.23,"Entire home/apt","West End, Foggy Bottom, GWU","super_strict_30"
172,8,9,1,2,1,1,0.48,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","flexible"
850,10,9,2,2,1,3,0.09,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","moderate"
239,9,9,2,4,1,6,1.7,"Entire home/apt","Howard University, Le Droit Park, Cardozo/Shaw","strict"
229,10,9,7,1,1,1,2.11,"Entire home/apt","Howard University, Le Droit Park, Cardozo/Shaw","super_strict_30"
23,10,9,3,1,1,1,0.23,"Shared room","Howard University, Le Droit Park, Cardozo/Shaw","strict"
