"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
83,9,10,1,1,1,2,2,"Private room","Fenway","flexible"
349,9,10,4,2,1,1,0.17,"Entire home/apt","Fenway","super_strict_30"
169,9,9,3,1,1,1,0.19,"Entire home/apt","Fenway","strict"
319,10,10,3,2,2,1,0.22,"Entire home/apt","Fenway","strict"
279,10,9,3,3,2,1,0.65,"Entire home/apt","Fenway","moderate"
79,10,10,4,1,1,1,0.67,"Shared room","Fenway","moderate"
100,10,10,1,2,1,1,4,"Entire home/apt","Jamaica Plain","strict"
62,10,10,3,1,1.5,2,0.31,"Private room","Jamaica Plain","moderate"
85,10,10,2,1,1,1,0.36,"Private room","Jamaica Plain","strict"
200,10,10,2,2,1,2,1.09,"Entire home/apt","Jamaica Plain","moderate"
107,8,9,2,1,1,2,0.84,"Private room","Jamaica Plain","flexible"
60,9,10,1,1,1,2,6.94,"Private room","Jamaica Plain","flexible"
225,10,10,3,2,1,4,0.21,"Entire home/apt","Jamaica Plain","strict"
46,7,9,2,1,1,2,1.84,"Private room","Jamaica Plain","moderate"
130,7,9,1,3,1,2,1.11,"Entire home/apt","Jamaica Plain","strict"
125,9,8,1,1,1,1,0.4,"Private room","Jamaica Plain","moderate"
99,10,9,1,1,1,2,1.93,"Entire home/apt","Jamaica Plain","strict"
85,8,9,2,1,1,2,0.55,"Private room","Jamaica Plain","moderate"
272,10,10,3,3,1,1,0.19,"Entire home/apt","Mission Hill","moderate"
129,8,9,14,1,1,1,1,"Entire home/apt","Back Bay","strict"
185,10,9,3,1,1,1,1.53,"Entire home/apt","Chinatown","strict"
109,9,10,1,2,1,2,4.55,"Entire home/apt","Chinatown","strict"
559,10,10,2,1,1,1,0.09,"Entire home/apt","North End","flexible"
300,10,10,3,4,1,4,1.04,"Entire home/apt","North End","moderate"
179,8,10,2,1,1,1,1.03,"Entire home/apt","North End","flexible"
90,10,10,1,1,1,1,0.7,"Private room","Dorchester","flexible"
195,10,10,3,2,1,2,0.54,"Entire home/apt","Dorchester","strict"
114,10,10,2,1,1,1,2.56,"Entire home/apt","Dorchester","flexible"
75,9,10,1,1,1,1,0.1,"Private room","Dorchester","flexible"
